what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1358202720507
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1358202720511
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1358202720511
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1358202720512
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1358202720513
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358202720513
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1358202720515
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1358202720515
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1358202720516
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1358202720516
os,sysinfo,,,"win32",1358202720520
arch,sysinfo,,,"x86_64",1358202720520
ws,sysinfo,,,"win32",1358202720520
locale,sysinfo,,,"en_GB",1358202720520
processors,sysinfo,,,"2",1358202720520
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358202720520
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1358202720520
java.specification.name,sysinfo,,,"Java Platform API Specification",1358202720520
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358202720520
java.specification.version,sysinfo,,,"1.6",1358202720520
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358202720520
java.version,sysinfo,,,"1.6.0_13",1358202720520
java.vm.info,sysinfo,,,"mixed mode",1358202720520
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1358202720520
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358202720520
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358202720520
java.vm.specification.version,sysinfo,,,"1.0",1358202720520
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358202720520
java.vm.version,sysinfo,,,"11.3-b02",1358202720520
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1358202720543
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1358202720712
